Date,Close,High,Low,Open,Volume
2021-01-04,343525.0,347825.0,340816.0,347825.0,400
2021-01-05,341820.0,344715.0,340850.0,343900.0,300
2021-01-06,346189.0,349000.0,342000.0,343000.0,900
2021-01-07,350089.0,351000.0,347120.0,347900.0,300
2021-01-08,352039.0,352039.0,348100.0,350500.0,200
2021-01-11,350050.0,351141.0,348073.0,348100.0,200
2021-01-12,350460.0,351250.0,348250.0,350050.0,200
2021-01-13,353194.0,353194.0,348140.0,349147.0,300
2021-01-14,352801.0,353698.0,351574.0,353100.0,100
2021-01-15,350320.0,352500.0,348500.0,350540.0,300
2021-01-19,352474.0,354837.0,348070.0,351177.0,300
2021-01-20,352801.0,353350.0,350639.0,351975.0,300
2021-01-21,354000.0,354835.0,352400.0,354200.0,500
2021-01-22,350620.0,351800.0,349500.0,351800.0,300
2021-01-25,351900.0,352085.0,347250.0,349000.0,400
2021-01-26,349200.0,351800.0,349025.0,350191.0,200
2021-01-27,343450.0,346645.0,341119.0,346145.0,500
2021-01-28,348220.0,351976.0,344340.0,344340.0,400
2021-01-29,344100.0,346355.0,343000.0,344749.0,300
2021-02-01,346175.0,346945.0,344250.0,345000.0,300
2021-02-02,350201.0,352000.0,348300.0,348300.0,400
2021-02-03,350701.0,351086.0,349250.0,350200.0,200
2021-02-04,354760.0,355000.0,351192.0,351700.0,400
2021-02-05,354401.0,356500.0,353846.0,355750.0,300
2021-02-08,357100.0,357100.0,354401.0,355000.0,300
2021-02-09,362200.0,362395.0,355021.0,356588.0,600
2021-02-10,361290.0,363232.0,360556.0,363145.0,300
2021-02-11,361650.0,362300.0,360109.0,361061.0,200
2021-02-12,365000.0,365725.0,359750.0,359750.0,400
2021-02-16,369333.0,372661.0,366000.0,367658.0,900
2021-02-17,370500.0,370873.0,368560.0,368560.0,500
2021-02-18,367400.0,370000.0,364760.0,368885.0,1300
2021-02-19,364400.0,369334.0,364000.0,368865.0,1300
2021-02-22,369250.0,371000.0,362860.0,363380.0,1700
2021-02-23,371055.0,371800.0,367236.0,370488.0,2900
2021-02-24,375000.0,376315.0,371123.0,371183.0,2600
2021-02-25,367800.0,377357.0,366401.0,375233.0,2200
2021-02-26,364580.0,374490.0,363680.0,370220.0,1900
2021-03-01,377755.0,378523.0,372176.0,372555.0,2900
2021-03-02,377835.0,380000.0,376933.0,378323.0,2300
2021-03-03,381680.0,385000.0,377500.0,377573.0,2400
2021-03-04,370240.0,382254.0,368430.0,380443.0,2600
2021-03-05,381600.0,383500.0,373595.0,375823.0,2500
2021-03-08,388560.0,391853.0,383700.0,385571.0,3000
2021-03-09,391460.0,397400.0,385800.0,391168.0,3200
2021-03-10,398840.0,407750.0,392015.0,394113.0,4200
2021-03-11,396399.0,402503.0,395062.0,402495.0,3100
2021-03-12,394701.0,401171.0,394701.0,397900.0,2400
2021-03-15,386400.0,395890.0,385131.0,395785.0,3000
2021-03-16,382720.0,387155.0,379212.0,387095.0,100
2021-03-17,381501.0,385832.0,380685.0,382530.0,3300
2021-03-18,383525.0,388630.0,381000.0,384998.0,2400
2021-03-19,382698.0,383613.0,377500.0,382320.0,2500
2021-03-22,380403.0,382352.0,378393.0,381808.0,2400
2021-03-23,377440.0,382000.0,376077.0,379062.0,1500
2021-03-24,378000.0,382155.0,377520.0,379202.0,1600
2021-03-25,378700.0,382600.0,374483.0,378035.0,1700
2021-03-26,387995.0,390000.0,381382.0,383298.0,1500
2021-03-29,391540.0,393484.0,383923.0,384053.0,2000
2021-03-30,390360.0,394300.0,388811.0,393665.0,1800
2021-03-31,385702.0,390300.0,385702.0,388813.0,1700
2021-04-01,390360.0,390984.0,385702.0,387979.0,1500
2021-04-05,395535.0,396770.0,392400.0,392700.0,1800
2021-04-06,396900.0,397890.0,394838.0,395913.0,1300
2021-04-07,395888.0,398000.0,394500.0,395730.0,300
2021-04-08,396001.0,396985.0,393973.0,395476.0,1100
2021-04-09,400000.0,400000.0,396122.0,397126.0,1400
2021-04-12,402620.0,403421.0,400734.0,401426.0,2000
2021-04-13,402500.0,403474.0,400372.0,401668.0,1800
2021-04-14,403000.0,404150.0,402000.0,402789.0,1800
2021-04-15,404789.0,404999.0,400835.0,403338.0,1700
2021-04-16,409250.0,410400.0,405752.0,405752.0,3000
2021-04-19,406505.0,410748.0,404676.0,410748.0,2200
2021-04-20,403089.0,405340.0,401749.0,404610.0,1700
2021-04-21,410153.0,410165.0,403603.0,403656.0,1700
2021-04-22,405901.0,410000.0,405256.0,409935.0,1800
2021-04-23,408840.0,410738.0,406611.0,407088.0,1700
2021-04-26,407527.0,412474.0,407250.0,410493.0,1900
2021-04-27,411400.0,412229.0,406482.0,408144.0,1500
2021-04-28,410988.0,411811.0,409355.0,410514.0,1600
2021-04-29,417905.0,417905.0,412000.0,412758.0,2000
2021-04-30,412500.0,417144.0,412000.0,415438.0,2100
2021-05-03,420000.0,422648.0,417272.0,418962.0,3100
2021-05-04,421420.0,421850.0,410850.0,419095.0,2600
2021-05-05,424840.0,427435.0,424306.0,425220.0,3000
2021-05-06,435120.0,435744.0,426700.0,426700.0,3200
2021-05-07,437131.0,445000.0,432827.0,436188.0,2700
2021-05-10,439460.0,443275.0,439132.0,439132.0,3200
2021-05-11,430258.0,436871.0,427913.0,435581.0,2500
2021-05-12,425308.0,431200.0,423077.0,428607.0,1800
2021-05-13,430640.0,433541.0,424100.0,425536.0,2400
2021-05-14,437260.0,437413.0,433996.0,433996.0,2100
2021-05-17,434324.0,436131.0,432747.0,435915.0,1700
2021-05-18,431767.0,435960.0,431767.0,435440.0,1300
2021-05-19,430720.0,430720.0,424575.0,426931.0,1700
2021-05-20,431422.0,435000.0,429880.0,432773.0,1600
2021-05-21,432469.0,435200.0,431000.0,431656.0,1300
2021-05-24,435431.0,437001.0,433287.0,435273.0,1300
2021-05-25,432274.0,438445.0,431784.0,437298.0,1400
2021-05-26,432800.0,434366.0,429765.0,434366.0,1500
2021-05-27,435420.0,436000.0,431175.0,433250.0,1500
2021-05-28,436000.0,436430.0,433637.0,435623.0,1300
2021-06-01,435304.0,439100.0,434255.0,438718.0,1700
2021-06-02,435639.0,437950.0,434647.0,437556.0,1900
2021-06-03,438745.0,440158.0,433050.0,433050.0,2000
